 No .,L (Mm),P (s),A (km),V (km/s),Ck(km/s),B (G),Mean Loop Width (Mm)
1,24.5,252 ± 5,176 ± 12,4.4 ± 0.3,194,2.6,0.5
2,29.4,31 ± 2,50 ± 10,10.1 ± 2.1,1897,25.3,0.2
3,37.1,31 ± 1,86 ± 10,17.4 ± 2.1,2394,31.9,0.3
4,7.7,95 ± 2,68 ± 8,4.5 ± 0.5,162,2.2,0.6
5,8.9,165 ± 6,128 ± 15,4.9 ± 0.6,108,1.4,0.3
6,17.4,50 ± 3,74 ± 14,9.3 ± 1.8,696,9.3,0.3
7,25.1,147 ± 4,85 ± 9,3.6 ± 0.4,341,4.6,0.4
8,25.9,42 ± 2,58 ± 13,8.7 ± 2,1233,16.4,1.1
9,17.9,169 ± 12,58 ± 13,2.2 ± 0.5,212,2.8,0.3
10,28.9,25 ± 0,60 ± 4,15.1 ± 1,2312,30.8,1.1
11,24.5,103 ± 8,137 ± 16,8.4 ± 1.2,476,6.3,0.3
12,22.2,59 ± 3,85 ± 18,9.1 ± 2,753,10,1
13,42.5,308 ± 17,355 ± 50,7.2 ± 1.1,276,3.7,0.5
14,12.2,421 ± 16,408 ± 27,6.1 ± 0.5,58,0.8,1.1
15,16.3,165 ± 10,121 ± 21,4.6 ± 0.8,198,2.6,2.3
16,19.8,188 ± 11,52 ± 10,1.7 ± 0.3,211,2.8,0.3
17,12.6,23 ± 1,45 ± 14,12.3 ± 3.9,1096,14.6,1.6
18,13.2,157 ± 3,39 ± 3,1.6 ± 0.1,168,2.2,0.3
19,17.2,63 ± 8,53 ± 35,5.3 ± 3.6,546,7.3,0.4
20,17.2,75 ± 5,45 ± 7,3.8 ± 0.6,459,6.1,0.4
21,14.3,89 ± 5,37 ± 8,2.6 ± 0.6,321,4.3,0.3
22,10,262 ± 2,189 ± 6,4.5 ± 0.1,76,1,1.1
23,16.8,168 ± 3,208 ± 7,7.8 ± 0.3,200,2.7,0.3
24,15,88 ± 2,85 ± 7,6.1 ± 0.5,341,4.5,0.3
25,15.7,25 ± 1,94 ± 14,23.6 ± 3.6,1256,16.7,0.4
26,17.2,66 ± 6,87 ± 28,8.3 ± 2.8,521,6.9,0.2
27,12.8,99 ± 2,283 ± 20,18 ± 1.3,259,3.4,0.5
28,13.5,79 ± 1,95 ± 3,7.6 ± 0.3,342,4.6,1.7
29,12.8,359 ± 13,191 ± 14,3.3 ± 0.3,71,1,0.4
30,13.3,103 ± 2,268 ± 16,16.3 ± 1,258,3.4,1.5
31,31.4,36 ± 1,54 ± 6,9.4 ± 1.1,1744,23.3,0.3
32,14.7,113 ± 6,82 ± 8,4.6 ± 0.5,260,3.5,0.2
33,28.5,81 ± 4,40 ± 6,3.1 ± 0.5,704,9.4,0.3
34,16.4,256 ± 6,100 ± 6,2.5 ± 0.2,128,1.7,1.6
35,14.7,70 ± 5,57 ± 13,5.1 ± 1.2,420,5.6,0.2
36,19.9,104 ± 10,57 ± 18,3.4 ± 1.1,383,5.1,1.7
37,20.5,434 ± 6,186 ± 16,2.7 ± 0.2,94,1.3,2
38,26,169 ± 11,86 ± 14,3.2 ± 0.6,308,4.1,0.3
39,21.4,226 ± 4,196 ± 10,5.4 ± 0.3,189,2.5,1.9
40,21.2,191 ± 6,118 ± 15,3.9 ± 0.5,222,3,0.4
41,21.3,149 ± 17,81 ± 17,3.4 ± 0.8,286,3.8,3.2
42,14.7,73 ± 3,204 ± 28,17.6 ± 2.5,403,5.4,0.3
43,28.8,27 ± 1,56 ± 11,13 ± 2.6,2133,28.4,0.2
44,4.5,265 ± 4,110 ± 7,2.6 ± 0.2,34,0.5,0.3
45,13.5,155 ± 8,148 ± 17,6 ± 0.8,174,2.3,0.2
46,14.6,91 ± 4,60 ± 7,4.1 ± 0.5,321,4.3,0.3
47,21.7,442 ± 3,325 ± 6,4.6 ± 0.1,98,1.3,0.4
48,16.9,33 ± 1,62 ± 10,11.8 ± 1.9,1024,13.7,1.7
49,16.2,72 ± 1,269 ± 9,23.5 ± 0.9,450,6,0.4
50,29.3,35 ± 1,35 ± 5,6.3 ± 0.9,1674,22.3,0.3
51,19.8,102 ± 2,261 ± 9,16.1 ± 0.6,388,5.2,0.5
52,30.3,111 ± 13,52 ± 20,2.9 ± 1.2,546,7.3,0.3
53,49.1,167 ± 1,162 ± 3,6.1 ± 0.1,588,7.8,0.3
54,14.6,85 ± 7,46 ± 7,3.4 ± 0.6,344,4.6,0.2
55,10,234 ± 19,120 ± 21,3.2 ± 0.6,85,1.1,0.5
56,14.6,140 ± 12,35 ± 5,1.6 ± 0.3,209,2.8,0.5
57,10.4,86 ± 2,43 ± 4,3.1 ± 0.3,242,3.2,0.2
58,14.6,93 ± 5,36 ± 7,2.4 ± 0.5,314,4.2,0.7
59,14.6,46 ± 1,30 ± 4,4.1 ± 0.6,635,8.5,0.2
60,15,101 ± 2,43 ± 4,2.7 ± 0.3,297,4,0.2
61,17.6,31 ± 1,67 ± 9,13.6 ± 1.9,1135,15.1,2.2
62,30.4,347 ± 19,262 ± 39,4.7 ± 0.8,175,2.3,0.9
63,12.9,25 ± 1,66 ± 9,16.6 ± 2.4,1032,13.8,3.3
64,8.1,179 ± 7,129 ± 16,4.5 ± 0.6,91,1.2,0.3
65,18.7,313 ± 14,157 ± 14,3.2 ± 0.3,119,1.6,1.6
66,7.6,205 ± 11,85 ± 8,2.6 ± 0.3,74,1,0.9
67,19.8,219 ± 8,78 ± 11,2.2 ± 0.3,181,2.4,2.5
68,16.2,126 ± 4,188 ± 22,9.4 ± 1.1,257,3.4,0.4
69,16.9,120 ± 12,76 ± 17,4 ± 1,282,3.8,0.9
70,21,179 ± 5,34 ± 6,1.2 ± 0.2,235,3.1,0.7
71,16.9,467 ± 7,108 ± 7,1.5 ± 0.1,72,1,1.8
72,13.9,95 ± 20,54 ± 25,3.6 ± 1.8,293,3.9,1.9
73,19.1,222 ± 24,89 ± 20,2.5 ± 0.6,172,2.3,0.8
74,30,149 ± 16,67 ± 24,2.8 ± 1.1,403,5.4,0.3
75,23,205 ± 14,96 ± 25,2.9 ± 0.8,224,3,1
76,8.2,205 ± 8,155 ± 20,4.8 ± 0.6,80,1.1,2.6
77,12.6,224 ± 13,85 ± 20,2.4 ± 0.6,112,1.5,1.1
78,21,404 ± 9,161 ± 12,2.5 ± 0.2,104,1.4,0.4
79,15,296 ± 13,129 ± 13,2.7 ± 0.3,101,1.4,0.9
80,20.8,308 ± 11,57 ± 7,1.2 ± 0.1,135,1.8,0.4
81,24.2,275 ± 19,103 ± 18,2.4 ± 0.4,176,2.3,0.5
82,9.4,40 ± 2,39 ± 6,6.1 ± 1,470,6.3,0.7
83,11.7,148 ± 6,42 ± 6,1.8 ± 0.3,158,2.1,1.7
84,14.6,224 ± 6,69 ± 7,1.9 ± 0.2,130,1.7,0.5
85,11.8,24 ± 2,36 ± 10,9.4 ± 2.7,983,13.1,0.2
86,11.5,37 ± 1,44 ± 7,7.5 ± 1.2,622,8.3,0.5
87,11.7,112 ± 3,103 ± 7,5.8 ± 0.4,209,2.8,0.3
88,7.7,40 ± 2,53 ± 12,8.3 ± 1.9,385,5.1,0.3
89,25.4,26 ± 1,50 ± 18,12.1 ± 4.4,1954,26,0.2
90,32.2,127 ± 5,97 ± 12,4.8 ± 0.6,507,6.8,0.6
91,42.3,169 ± 6,163 ± 19,6.1 ± 0.7,501,6.7,1.3
92,42.3,182 ± 8,102 ± 12,3.5 ± 0.4,465,6.2,0.5
93,26.3,247 ± 11,53 ± 7,1.3 ± 0.2,213,2.8,0.7
94,40.1,243 ± 6,77 ± 7,2 ± 0.2,330,4.4,0.6
95,42.2,204 ± 6,64 ± 9,2 ± 0.3,414,5.5,0.4
96,35.2,250 ± 10,61 ± 8,1.5 ± 0.2,282,3.8,0.5
97,11.4,23 ± 2,46 ± 18,12.6 ± 5,991,13.2,1.2
98,12,34 ± 1,50 ± 7,9.2 ± 1.3,706,9.4,0.8
99,10.8,220 ± 5,163 ± 8,4.7 ± 0.3,98,1.3,0.4
100,8.5,68 ± 3,41 ± 6,3.8 ± 0.6,250,3.3,0.2
101,9.1,230 ± 6,102 ± 7,2.8 ± 0.2,79,1.1,0.8
102,12.8,23 ± 1,31 ± 3,8.5 ± 0.9,1113,14.8,0.2
103,10.3,36 ± 3,34 ± 10,5.9 ± 1.8,572,7.6,1
104,21.5,102 ± 5,35 ± 10,2.2 ± 0.6,422,5.6,0.8
105,4.1,339 ± 7,78 ± 5,1.4 ± 0.1,24,0.3,0.4